company,year,January,February,March,April,May,June,July,August,September,October,November,December
Anglo American,2018,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668,1668
Anglo American,2019,1756,1985,2000,2210,1893,2110,,,,,,
Rio Tinto,2018,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848
Rio Tinto,2019,3793,4398,4120,4600,4407,4770,,,,,,
BHP,2018,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569,1569
BHP,2019,1561,1475,1436,1388,1601,1734,,,,,,
Glencore,2018,341,341,341,341,341,341,341,341,341,341,341,341
Glencore,2019,284,306,304,332,298,261,,,,,,
Vale SA,2018,10.875,10.875,10.875,10.875,10.875,10.875,10.875,10.875,10.875,10.875,10.875,10.875
Vale SA,2019,11.18,10.03,9.88,10.68,10.2,9.99,,,,,,
China SE,2018,2.437,2.437,2.437,2.437,2.437,2.437,2.437,2.437,2.437,2.437,2.437,2.437
China SE,2019,2.1,2.32,2.42,2.38,2.16,2.19,,,,,,
